r,theta,z,Energy,Detection Efficiency
42.0,0.0,-53.0,1400,0.0040635882352941
42.0,0.0,-53.0,1600,0.003841294117647
42.0,0.0,-53.0,1800,0.0033565
42.0,0.0,-53.0,2000,0.0031680588235294
42.0,0.0,-53.0,2200,0.0029147647058823
42.0,0.0,-53.0,2400,0.0027523333333333
42.0,0.0,-83.0,20,1e-09
42.0,0.0,-83.0,30,1e-09
42.0,0.0,-83.0,50,0.0021771764705882
42.0,0.0,-83.0,80,0.005761375
42.0,0.0,-83.0,100,0.007124375
42.0,0.0,-83.0,200,0.0067761764705882
42.0,0.0,-83.0,300,0.0054883333333333
42.0,0.0,-83.0,500,0.0039403529411764
42.0,0.0,-83.0,800,0.0028895882352941
42.0,0.0,-83.0,1000,0.00268175
42.0,0.0,-83.0,1200,0.0022578333333333
42.0,0.0,-83.0,1400,0.0019564117647058
42.0,0.0,-83.0,1600,0.0019201764705882
42.0,0.0,-83.0,1800,0.0017705555555555
42.0,0.0,-83.0,2000,0.0016537647058823
42.0,0.0,-83.0,2200,0.0015339411764705
42.0,0.0,-83.0,2400,0.0014347777777777
72.0,0.0,67.0,20,0.0016043888888888
72.0,0.0,67.0,30,0.0081351176470588
72.0,0.0,67.0,50,0.0323755882352941
72.0,0.0,67.0,80,0.048907625
72.0,0.0,67.0,100,0.0511881176470588
72.0,0.0,67.0,200,0.041738
72.0,0.0,67.0,300,0.0310477222222222
72.0,0.0,67.0,500,0.0202474117647058
72.0,0.0,67.0,800,0.0136287647058823
72.0,0.0,67.0,1000,0.0117450588235294
72.0,0.0,67.0,1200,0.0101902777777777
72.0,0.0,67.0,1400,0.0089185882352941
72.0,0.0,67.0,1600,0.0079761176470588
72.0,0.0,67.0,1800,0.0073729444444444
72.0,0.0,67.0,2000,0.006668
72.0,0.0,67.0,2200,0.0061331764705882
72.0,0.0,67.0,2400,0.0055087777777777
72.0,0.0,37.0,20,0.0020655
72.0,0.0,37.0,30,0.0095471111111111
72.0,0.0,37.0,50,0.0372766470588235
72.0,0.0,37.0,80,0.056132375
72.0,0.0,37.0,100,0.05888625
72.0,0.0,37.0,200,0.0468837058823529
72.0,0.0,37.0,300,0.0342476666666666
72.0,0.0,37.0,500,0.0222008235294117
72.0,0.0,37.0,800,0.0150124117647058
72.0,0.0,37.0,1000,0.01279875
72.0,0.0,37.0,1200,0.0109237777777777
72.0,0.0,37.0,1400,0.0095941764705882
72.0,0.0,37.0,1600,0.0087636470588235
72.0,0.0,37.0,1800,0.0080049444444444
72.0,0.0,37.0,2000,0.0072867647058823
72.0,0.0,37.0,2200,0.0066368823529411
72.0,0.0,37.0,2400,0.0062323333333333
72.0,0.0,7.0,20,0.0012403888888888
72.0,0.0,7.0,30,0.0062274444444444
72.0,0.0,7.0,50,0.0251848235294117
72.0,0.0,7.0,80,0.0385395
72.0,0.0,7.0,100,0.040361375
72.0,0.0,7.0,200,0.0338805882352941
72.0,0.0,7.0,300,0.0252103888888888
72.0,0.0,7.0,500,0.0165972352941176
72.0,0.0,7.0,800,0.0112236470588235
72.0,0.0,7.0,1000,0.009655
72.0,0.0,7.0,1200,0.0085344444444444
72.0,0.0,7.0,1400,0.0072779411764705
72.0,0.0,7.0,1600,0.006773294117647
72.0,0.0,7.0,1800,0.0060767777777777
72.0,0.0,7.0,2000,0.0055925882352941
72.0,0.0,7.0,2200,0.0050392352941176
72.0,0.0,7.0,2400,0.0047287777777777
72.0,0.0,-23.0,20,0.0007372777777777
72.0,0.0,-23.0,30,0.0040301111111111
72.0,0.0,-23.0,50,0.0173861764705882
72.0,0.0,-23.0,80,0.027060375
72.0,0.0,-23.0,100,0.02776425
72.0,0.0,-23.0,200,0.0228215294117647
72.0,0.0,-23.0,300,0.0167506666666666
72.0,0.0,-23.0,500,0.0108868823529411
72.0,0.0,-23.0,800,0.0076256470588235
72.0,0.0,-23.0,1000,0.0063165
72.0,0.0,-23.0,1200,0.0056581666666666
72.0,0.0,-23.0,1400,0.0048287058823529
72.0,0.0,-23.0,1600,0.0044810588235294
72.0,0.0,-23.0,1800,0.0038138888888888
72.0,0.0,-23.0,2000,0.0037795882352941
72.0,0.0,-23.0,2200,0.0034612352941176
72.0,0.0,-23.0,2400,0.0031033333333333
72.0,0.0,-53.0,20,0.0005197777777777
72.0,0.0,-53.0,30,0.0024891764705882
72.0,0.0,-53.0,50,0.0111918235294117
72.0,0.0,-53.0,80,0.01731925
72.0,0.0,-53.0,100,0.0182708235294117
72.0,0.0,-53.0,200,0.0147088235294117
72.0,0.0,-53.0,300,0.0107303333333333
72.0,0.0,-53.0,500,0.0070227647058823
72.0,0.0,-53.0,800,0.0048352352941176
72.0,0.0,-53.0,1000,0.0041036470588235
72.0,0.0,-53.0,1200,0.0035115
72.0,0.0,-53.0,1400,0.0032058823529411
72.0,0.0,-53.0,1600,0.0027807058823529
72.0,0.0,-53.0,1800,0.0026633888888888
72.0,0.0,-53.0,2000,0.0024135882352941
72.0,0.0,-53.0,2200,0.002178
72.0,0.0,-53.0,2400,0.002098
72.0,0.0,-83.0,20,0.0001897777777777
72.0,0.0,-83.0,30,0.001473
72.0,0.0,-83.0,50,0.0074917647058823
72.0,0.0,-83.0,80,0.01109775
72.0,0.0,-83.0,100,0.0119128235294117
72.0,0.0,-83.0,200,0.0096978823529411
72.0,0.0,-83.0,300,0.0072383888888888
72.0,0.0,-83.0,500,0.0046350588235294
72.0,0.0,-83.0,800,0.0033087647058823
72.0,0.0,-83.0,1000,0.0027894117647058
